Adesivo,Quantidade,Preco Hoje,Preco de Compra
Virtus.Pro | Stockholm 2021,5,"0,34","0,09"
ENCE (Holo) | Stockholm 2021,5,"2,80","1,12"
Boombl4 (Holo) | Stockholm 2021,5,"0,29","0,25"
Evil Geniuses (Holo) | Stockholm 2021,5,"2,33","0,98"
Entropiq | Stockholm 2021,5,"1,12","0,4"
Ninjas in Pyjamas (Holo) | Stockholm 2021,5,"1,28","1,08"
Team Liquid (Holo) | Stockholm 2021,5,"4,96","2,62"
ZywOo | Stockholm 2021,5,"0,10","0,24"
electroNic | Stockholm 2021,5,"0,05","0,06"
b1t | Stockholm 2021,5,"0,05","0,06"
KSCERATO | Stockholm 2021,5,"0,05","0,08"
yuurih | Stockholm 2021,5,"0,05","0,08"
Sharks Esports (Holo) | Stockholm 2021,5,"2,08","1,0"
ENCE | Stockholm 2021,5,"0,14","0,09"
paiN Gaming | Stockholm 2021,5,"0,55","0,13"
Copenhagen Flames | Stockholm 2021,5,"0,09","0,14"
GODSENT (Holo) | Stockholm 2021,5,"3,54","1,7"
Astralis | Stockholm 2021,5,"0,52","0,38"
Natus Vincere | Stockholm 2021,5,"0,28","0,42"
Team Liquid | Stockholm 2021,5,"0,07","0,09"
FaZe Clan | Stockholm 2021,5,"0,39","0,15"
G2 Esports | Stockholm 2021,5,"0,08","0,08"
Vitality | Stockholm 2021,5,"0,04","0,06"
FURIA | Stockholm 2021,5,"0,07","0,08"
Ninjas in Pyjamas | Stockholm 2021,5,"0,05","0,06"
GODSENT | Stockholm 2021,5,"0,06","0,06"
Sharks Esports (Gold) | Stockholm 2021,1,"21,36","9,50"
YEKINDAR (Holo) | Stockholm 2021,5,"1,86","0,80"
VINI (Gold) | Stockholm 2021,2,"18,75","16,88"
huNter- (Holo) | Stockholm 2021,5,"1,91","0,87"
Evil Geniuses | Stockholm 2021,5,"0,05","0,05"
device | Stockholm 2021,5,"0,18","0,12"
BIG (Foil) | Stockholm 2021,5,"2,87","0,95"
